time,event
2026-03-02T12:00:29.906689,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:31.080559,candidate selected op=points start=0
 duration_ms=1173
2026-03-02T12:00:31.082631,poll ok #67 duration_ms=3272 degraded=0 timeout_streak=0
2026-03-02T12:00:32.812574,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:34.614523,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:00:34.868843,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:36.089443,poll ok #68 duration_ms=3277 degraded=0 timeout_streak=0
2026-03-02T12:00:37.810570,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:39.615184,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:00:39.867900,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:41.098356,candidate selected op=points start=0
 duration_ms=1231
2026-03-02T12:00:41.099870,poll ok #69 duration_ms=3287 degraded=0 timeout_streak=0
2026-03-02T12:00:42.811312,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:44.618628,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T12:00:44.883766,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:46.097123,poll ok #70 duration_ms=3286 degraded=0 timeout_streak=0
2026-03-02T12:00:47.819449,poll start #71
2026-03-02T12:00:47.820955,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:49.629635,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:00:49.895844,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:51.091389,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T12:00:52.823443,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:54.633891,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:00:54.900615,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:56.088707,candidate selected op=points start=0
 duration_ms=1186
2026-03-02T12:00:56.092675,poll ok #72 duration_ms=3269 degraded=0 timeout_streak=0
2026-03-02T12:00:57.821717,poll start #73
0 start=0 count=72 attempt=1/2
2026-03-02T12:00:59.051060,poll ok #73 duration_ms=1230 degraded=0 timeout_streak=0
2026-03-02T12:01:02.810572,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:03.325449,poll ok #74 duration_ms=515 degraded=0 timeout_streak=0
2026-03-02T12:01:07.821422,send op=points@0 start=0 count=72 attempt=1/2
